% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Normal mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:36:48 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4758571520e+00, 1.0901638546e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4756619328e+00, 1.0902339684e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4754667136e+00, 1.0946511355e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4752714944e+00, 1.0923724382e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4750762752e+00, 1.0925827795e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4748810560e+00, 1.0935994291e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4746858368e+00, 1.0928632345e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4744906176e+00, 1.0944057373e-03, -5.0201454798e-05, -2.6065492787e-03
-1.4742953984e+00, 1.0955626144e-03, -3.5933303888e-05, -2.6065492787e-03
-1.4741001792e+00, 1.0913207317e-03, -3.3444265277e-05, -2.6065492787e-03
-1.4739049600e+00, 1.0925827795e-03, -3.3444265277e-05, -2.6077412127e-03
-1.4737097408e+00, 1.0945459649e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4735145216e+00, 1.0916362437e-03, -5.2865777818e-05, -2.6399584871e-03
-1.4733193024e+00, 1.0940902254e-03, -4.8343440060e-05, -2.6399584871e-03
-1.4731240832e+00, 1.0972102879e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4729288640e+00, 1.0923023244e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4727336448e+00, 1.0923373813e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4725384256e+00, 1.0918115281e-03, -5.4478394382e-05, -2.6399584871e-03
-1.4723432064e+00, 1.0949666475e-03, -5.8965675258e-05, -2.6399584871e-03
-1.4721479872e+00, 1.0934942584e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4719527680e+00, 1.0938097703e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4717575488e+00, 1.0920569263e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4715623296e+00, 1.0940551685e-03, -5.2620379645e-05, -2.6399584871e-03
-1.4713671104e+00, 1.0917414143e-03, -6.4539719471e-05, -2.6399584871e-03
-1.4711718912e+00, 1.0955275576e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4709766720e+00, 1.0942304529e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4707814528e+00, 1.0914960161e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4705862336e+00, 1.0940201116e-03, -4.2699282083e-05, -2.6399584871e-03
-1.4703910144e+00, 1.0924776088e-03, -6.2015623978e-05, -2.6399584871e-03
-1.4701957952e+00, 1.0919166987e-03, -3.3444265277e-05, -2.6399584871e-03
-1.4700005760e+00, 1.0926528932e-03, -3.3444265277e-05, -2.6630259154e-03
-1.4698053568e+00, 1.0913557886e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4696101376e+00, 1.0921971538e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4694149184e+00, 1.0913557886e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4692196992e+00, 1.0911103904e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4690244800e+00, 1.0939149410e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4688292608e+00, 1.0923724382e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4686340416e+00, 1.0961936383e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4684388224e+00, 1.0959832970e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4682436032e+00, 1.0924776088e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4680483840e+00, 1.0936695428e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4678531648e+00, 1.0941252823e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4676579456e+00, 1.0938798841e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4674627264e+00, 1.0927580639e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4672675072e+00, 1.0937747135e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4670722880e+00, 1.0945109080e-03, -2.4119134707e-05, -2.6733676955e-03
-1.4668770688e+00, 1.0936695428e-03, 0.0000000000e+00, -2.6733676955e-03
-1.4666818496e+00, 1.0900937409e-03, -3.2077046885e-05, -2.6733676955e-03
-1.4664866304e+00, 1.0935994291e-03, -3.3444265277e-05, -2.6733676955e-03
-1.4662914112e+00, 1.0906546510e-03, -3.3444265277e-05, -2.6783808296e-03
-1.4660961920e+00, 1.0954223869e-03, -1.3882525209e-05, -2.7067769039e-03
-1.4659009728e+00, 1.0943356236e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4657057536e+00, 1.0921971538e-03, -1.2971046282e-05, -2.7067769039e-03
-1.4655105344e+00, 1.0917414143e-03, -3.3444265277e-05, -2.7067769039e-03
-1.4653153152e+00, 1.0960183539e-03, -3.3444265277e-05, -2.7067769039e-03
-1.4651200960e+00, 1.0938448272e-03, -8.7992773423e-06, -2.7067769039e-03
-1.4649248768e+00, 1.0943356236e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4647296576e+00, 1.0948965337e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4645344384e+00, 1.0895678876e-03, -3.1165567957e-05, -2.7067769039e-03
-1.4643392192e+00, 1.0946160786e-03, -3.3444265277e-05, -2.7067769039e-03
-1.4641440000e+00, 1.0963689227e-03, -3.0850056021e-06, -2.7067769039e-03
-1.4639487808e+00, 1.0898132858e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4637535616e+00, 1.0948264199e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4635583424e+00, 1.0922322107e-03, -1.0446950789e-05, -2.7067769039e-03
-1.4633631232e+00, 1.0935643722e-03, -2.5240954926e-05, -2.7067769039e-03
-1.4631679040e+00, 1.0933890878e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4629726848e+00, 1.0928281777e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4627774656e+00, 1.0947212493e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4625822464e+00, 1.0914960161e-03, 0.0000000000e+00, -2.7067769039e-03
-1.4623870272e+00, 1.0926528932e-03, 0.0000000000e+00, -2.7336655323e-03
-1.4621918080e+00, 1.0891472051e-03, 0.0000000000e+00, -2.7401861123e-03
-1.4619965888e+00, 1.0932839171e-03, 0.0000000000e+00, -2.7401861123e-03
