% Moku:Pro Oscilloscope
% Channel A
% Channel B
% Channel C
% Channel D
% Time span 2.788 s, time offset -92.92 ms, Precision acquisition mode, no averaging
% Edge trigger: Channel D, level 4.593 mV, Auto mode, Rising edge, Auto sensitivity, noise reject off, HF reject off
% Output A (off) - Ramp, 200.000 mHz, 22.0 mVpp, offset 5.1 mV, phase 0.000 000 deg, symmetry 50.00 %
% Output B (off) - DC, 1.5 mV
% Internal 10 MHz clock
% Acquired 2025-09-23 T 16:37:12 +0800
% Time (s), Channel A (V), Channel B (V), Channel D (V)
-1.4709766720e+00, 1.4253707474e-02, -2.9798349566e-05, 5.5137814330e-03
-1.4707814528e+00, 1.4252866109e-02, 6.6537961736e-05, 5.5137814330e-03
-1.4705862336e+00, 1.4252305199e-02, 2.1100737181e-04, 5.5137814330e-03
-1.4703910144e+00, 1.4260122884e-02, 2.1458317375e-04, 5.5137814330e-03
-1.4701957952e+00, 1.4260578623e-02, 7.6564229943e-05, 5.5137814330e-03
-1.4700005760e+00, 1.4256056285e-02, -2.6432888909e-05, 5.5137814330e-03
-1.4698053568e+00, 1.4259351632e-02, 5.1393388780e-05, 5.5137814330e-03
-1.4696101376e+00, 1.4255635603e-02, 1.9985928338e-04, 5.5137814330e-03
-1.4694149184e+00, 1.4261069420e-02, 2.3176104586e-04, 5.5137814330e-03
-1.4692196992e+00, 1.4261069420e-02, 1.0057819400e-04, 5.5137814330e-03
-1.4690244800e+00, 1.4257598788e-02, -2.0858844696e-05, 5.5137814330e-03
-1.4688292608e+00, 1.4259491860e-02, 3.0814999139e-05, 5.5137814330e-03
-1.4686340416e+00, 1.4260192997e-02, 1.8313715074e-04, 5.5137814330e-03
-1.4684388224e+00, 1.4259491860e-02, 2.2909672284e-04, 5.5137814330e-03
-1.4682436032e+00, 1.4262191240e-02, 1.1996464966e-04, 5.5137814330e-03
-1.4680483840e+00, 1.4261174590e-02, -1.4443435319e-05, 5.5137814330e-03
-1.4678531648e+00, 1.4257002821e-02, 7.7826277689e-06, 5.5137814330e-03
-1.4676579456e+00, 1.4262892377e-02, 1.5716000130e-04, 5.5137814330e-03
-1.4674627264e+00, 1.4261700443e-02, 2.3123519263e-04, 5.5137814330e-03
-1.4672675072e+00, 1.4265696928e-02, 1.3461842627e-04, 5.5137814330e-03
-1.4670722880e+00, 1.4259386689e-02, -1.0271666380e-05, 5.5137814330e-03
-1.4668770688e+00, 1.4259561974e-02, -1.2234851763e-05, 5.5137814330e-03
-1.4666818496e+00, 1.4262892377e-02, 1.2743176550e-04, 5.5137814330e-03
-1.4664866304e+00, 1.4259667144e-02, 2.2636228605e-04, 5.5137814330e-03
-1.4662914112e+00, 1.4264890620e-02, 1.4510043394e-04, 5.5137814330e-03
-1.4660961920e+00, 1.4258790722e-02, -5.6441579765e-06, 5.5137814330e-03
-1.4659009728e+00, 1.4255881001e-02, -3.8212001208e-05, 5.5137814330e-03
-1.4657057536e+00, 1.4257703959e-02, 9.6441481947e-05, 5.5137814330e-03
-1.4655105344e+00, 1.4256266627e-02, 2.1517914075e-04, 5.5137814330e-03
-1.4653153152e+00, 1.4267064146e-02, 1.5642380678e-04, 5.5137814330e-03
-1.4651200960e+00, 1.4260368282e-02, 3.4355744205e-06, 5.5137814330e-03
